BUND/LAND	GERICHTSBEZEICHNUNG	ECLI-GERICHTSCOD
Baden-Württemberg	Amtsgericht Tauberbischofsheim	AGTAUBE
Baden-Württemberg	Amtsgericht Tettnang	AGTETTN
Baden-Württemberg	Amtsgericht Titisee-Neustadt	AGTITIS
Baden-Württemberg	Amtsgericht Tübingen	AGTUEBI
Baden-Württemberg	Amtsgericht Tuttlingen	AGTUTTL
Baden-Württemberg	Amtsgericht Überlingen	AGUEBER
Baden-Württemberg	Amtsgericht Ulm	AGULM
Baden-Württemberg	Amtsgericht Vaihingen an der Enz	AGVAIHI
Baden-Württemberg	Amtsgericht Villingen-Schwenningen	AGVILLI
Baden-Württemberg	Amtsgericht Waiblingen	AGWAIBL
Baden-Württemberg	Amtsgericht Waldkirch	AGWALDK
Baden-Württemberg	Amtsgericht Waldshut-Tiengen	AGWALDS
Baden-Württemberg	Amtsgericht Wangen im Allgäu	AGWANGE
Baden-Württemberg	Amtsgericht Weinheim	AGWEINH
Baden-Württemberg	Amtsgericht Wertheim	AGWERTH
Baden-Württemberg	Amtsgericht Wiesloch	AGWIESL
Baden-Württemberg	Amtsgericht Wolfach	AGWOLFA
Baden-Württemberg	Arbeitsgericht Freiburg	ARBGFRE
Baden-Württemberg	Arbeitsgericht Heilbronn	ARBGHEI
Baden-Württemberg	Arbeitsgericht Karlsruhe	ARBGKAR
Baden-Württemberg	Arbeitsgericht Lörrach	ARBGLOE
Baden-Württemberg	Arbeitsgericht Mannheim	ARBGMAN
Baden-Württemberg	Arbeitsgericht Pforzheim	ARBGPFO
Baden-Württemberg	Arbeitsgericht Reutlingen	ARBGREU
Baden-Württemberg	Arbeitsgericht Stuttgart	ARBGSTU
Baden-Württemberg	Arbeitsgericht Ulm	ARBGULM
Baden-Württemberg	Finanzgericht Baden-Württemberg	FGBW
Baden-Württemberg	Landesarbeitsgericht Baden-Württemberg	LAGBW
Baden-Württemberg	Landessozialgericht Baden-Württemberg	LSGBW
Baden-Württemberg	Landgericht Baden-Baden	LGBADEN
Baden-Württemberg	Landgericht Ellwangen	LGELLWA
Baden-Württemberg	Landgericht Freiburg	LGFREIB
Baden-Württemberg	Landgericht Hechingen	LGHECHI
Baden-Württemberg	Landgericht Heidelberg	LGHEIDE
Baden-Württemberg	Landgericht Heilbronn	LGHEILB
Baden-Württemberg	Landgericht Karlsruhe	LGKARLS
Baden-Württemberg	Landgericht Konstanz	LGKONST
Baden-Württemberg	Landgericht Mannheim	LGMANNH
Baden-Württemberg	Landgericht Mosbach	LGMOSBA
Baden-Württemberg	Landgericht Offenburg	LGOFFEN
Baden-Württemberg	Landgericht Ravensburg	LGRAVEN
Baden-Württemberg	Landgericht Rottweil	LGROTTW
Baden-Württemberg	Landgericht Stuttgart	LGSTUTT
Baden-Württemberg	Landgericht Tübingen	LGTUEBI
Baden-Württemberg	Landgericht Ulm	LGULM
Baden-Württemberg	Landgericht Waldshut-Tiengen	LGWALDS
Baden-Württemberg	Oberlandesgericht Karlsruhe	OLGKARL
Baden-Württemberg	Oberlandesgericht Stuttgart	OLGSTUT
Baden-Württemberg	Sozialgericht Freiburg	SGFREIB
Baden-Württemberg	Sozialgericht Heilbronn	SGHEILB
Baden-Württemberg	Sozialgericht Karlsruhe	SGKARLS
Baden-Württemberg	Sozialgericht Konstanz	SGKONST
Baden-Württemberg	Sozialgericht Mannheim	SGMANNH
Baden-Württemberg	Sozialgericht Reutlingen	SGREUTL
Baden-Württemberg	Sozialgericht Stuttgart	SGSTUTT
Baden-Württemberg	Sozialgericht Ulm	SGULM
Baden-Württemberg	Verfassungsgerichtshof Baden-Württemberg	VERFGBW
Baden-Württemberg	Verwaltungsgericht Freiburg	VGFREIB
Baden-Württemberg	Verwaltungsgericht Karlsruhe	VGKARLS
Baden-Württemberg	Verwaltungsgericht Sigmaringen	VGSIGMA
Baden-Württemberg	Verwaltungsgericht Stuttgart	VGSTUTT
Baden-Württemberg	Verwaltungsgerichtshof Baden-Württemberg	VGHBW
Bayern	Amtsgericht Aichach	AGAICHA
Bayern	Amtsgericht Altötting	AGALTOE
Bayern	Amtsgericht Amberg	AGAMBER
Bayern	Amtsgericht Ansbach	AGANSBA
Bayern	Amtsgericht Aschaffenburg	AGASCHA
Bayern	Amtsgericht Augsburg	AGAUGSB
Bayern	Amtsgericht Bad Kissingen	AGBADKI
Bayern	Amtsgericht Bad Neustadt a.d. Saale	AGBADNE
Bayern	Amtsgericht Bamberg	AGBAMBE
Bayern	Amtsgericht Bayreuth	AGBAYRE
Bayern	Amtsgericht Cham	AGCHAM
Bayern	Amtsgericht Coburg	AGCOBUR
Bayern	Amtsgericht Dachau	AGDACHA
Bayern	Amtsgericht Deggendorf	AGDEGGE
Bayern	Amtsgericht Dillingen an der Donau	AGDILLI
Bayern	Amtsgericht Ebersberg	AGEBE
Bayern	Amtsgericht Eggenfelden	AGEGGEN
Bayern	Amtsgericht Erding	AGERDIN
Bayern	Amtsgericht Erlangen	AGERLAN
Bayern	Amtsgericht Forchheim	AGFORCH
Bayern	Amtsgericht Freising	AGFREIS
Bayern	Amtsgericht Freyung	AGFREYU
Bayern	Amtsgericht Fürstenfeldbruck	AGFFB
Bayern	Amtsgericht Fürth	AGFUE
Bayern	Amtsgericht Garmisch-Partenkirchen	AGGARMI
Bayern	Amtsgericht Gemünden am Main	AGGEMUE
Bayern	Amtsgericht Günzburg	AGGUENZ
Bayern	Amtsgericht Haßfurt	AGHASSF
Bayern	Amtsgericht Hersbruck	AGHERSB
Bayern	Amtsgericht Hof	AGHOF
Bayern	Amtsgericht Ingolstadt	AGINGOL
Bayern	Amtsgericht Kaufbeuren	AGKAUFB

Bayern	Amtsgericht Kelheim	AGKELHE
Bayern	Amtsgericht Kempten (Allgäu)	AG KEMPT
Bayern	Amtsgericht Kitzingen	AGKITZI
Bayern	Amtsgericht Kronach	AGKRONA
Bayern	Amtsgericht Kulmbach	AGKULMB
Bayern	Amtsgericht Landau a.d.lsar	AGLANDA
Bayern	Amtsgericht Landsberg am Lech	AGLAND1
Bayern	Amtsgericht Landshut	AGLAND2
Bayern	Amtsgericht Laufen	AGLAUFE
Bayern	Amtsgericht Lichtenfels	AGLICHT
Bayern	Amtsgericht Lindau (Bodensee)	AGLINDA
Bayern	Amtsgericht Memmingen	AGMEMMI
Bayern	Amtsgericht Miesbach	AGMIESB
Bayern	Amtsgericht Mühldorf am Inn	AGMUE
Bayern	Amtsgericht München	AGMUENC
Bayern	Amtsgericht Neuburg a. d. Donau	AGNEUBU
Bayern	Amtsgericht Neumarkt in der Oberpfalz	AGNEUMA
Bayern	Amtsgericht Neustadt an der Aisch	AGNEA
Bayern	Amtsgericht Neu-Ulm	AGNEUUL
Bayern	Amtsgericht Nördlingen	AGNOERD
Bayern	Amtsgericht Nürnberg	AGNUERN
Bayern	Amtsgericht Obemburg am Main	AGOBB
Bayern	Amtsgericht Passau	AGPASSA
Bayern	Amtsgericht Pfaffenhofen a.d.Ilm	AGPFAFF
Bayern	Amtsgericht Regensburg	AGREGEN
Bayern	Amtsgericht Rosenheim	AGROSEN
Bayern	Amtsgericht Schwabach	AGSCHW1
Bayern	Amtsgericht Schwandorf	AGSCHW2
Bayern	Amtsgericht Schweinfurt	AGSW
Bayern	Amtsgericht Sonthofen	AGSONTH
Bayern	Amtsgericht Starnberg	AGSTARN
Bayern	Amtsgericht Straubing	AGSTRAUB
Bayern	Amtsgericht Tirschenreuth	AGTIRSC
Bayern	Amtsgericht Traunstein	AGTRAUN
Bayern	Amtsgericht Viechtach	AGVIECH
Bayern	Amtsgericht Weiden i.d. OPf. .	AGWEIDE
Bayern	Amtsgericht Weilheim i.OB	AGWEILH
Bayern	Amtsgericht Weißenburg	AGWUG
Bayern	Amtsgericht Wolfratshausen	AGWOLFR
Bayern	Amtsgericht Wunsiedel	AGWUNSI
Bayern	Amtsgericht Würzburg	AGWUERZ
Bayern	Arbeitsgericht Augsburg	ARBGAUG
Bayern	Arbeitsgericht Bamberg	ARBGBAM
Bayern	Arbeitsgericht Bayreuth	ARBGBAY
Bayern	Arbeitsgericht Kempten	ARBGKEM
Bayern	Arbeitsgericht München	ARBGMUE
Bayern	Arbeitsgericht Nürnberg	ARBGNUE
Bayern	Arbeitsgericht Passau	ARBGPAS
Bayern	Arbeitsgericht Regensburg	ARBGREG
Bayern	Arbeitsgericht Rosenheim	ARBGRO
Bayern	Arbeitsgericht Weiden	ARBGWEI
Bayern	Arbeitsgericht Würzburg	ARBGWUE
Bayern	Bayerischer Verfassungsgerichtshof	BAYVERF
Bayern	Bayerischer Verwaltungsgerichtshof	BAYVGH
Bayern	Bayerisches Landessozialgericht	BAYLSG
Bayern	Bayerisches Oberstes Landesgericht	BAYOBLG
Bayern	Finanzgericht München	FGMUENC
Bayern	Finanzgericht Nürnberg	FGNUERN
Bayern	Landesarbeitsgericht München	LAGMUEN
Bayern	Landesarbeitsgericht Nürnberg	LAGNUER
Bayern	Landgericht Amberg	LGAMBER
Bayern	Landgericht Ansbach	LGANSBA
Bayern	Landgericht Aschaffenburg	LGASCHA
Bayern	Landgericht Augsburg	LGAUGSB
Bayern	Landgericht Bamberg	LGBAMBE
Bayern	Landgericht Bayreuth	LGBAYRE
Bayern	Landgericht Coburg	LGCOBUR
Bayern	Landgericht Deggendorf	LGDEGGE
Bayern	Landgericht Hof	LGHOF
Bayern	Landgericht Ingolstadt	LGINGOL
Bayern	Landgericht Kempten (Allgäu)	LGKEMPT
Bayern	Landgericht Landshut	LGLANDS
Bayern	Landgericht Memmingen	LGMEMMI
Bayern	Landgericht München 1	LGMUEN1
Bayern	Landgericht München II	LGMUEN2
Bayern	Landgericht Nürnberg-Fürth	LGNUERN
Bayern	Landgericht Passau	LGPASSA
Bayern	Landgericht Regensburg	LGREGEN
Bayern	Landgericht Schweinfurt	LGSW
Bayern	Landgericht Traunstein	LGTRAUN
Bayern	Landgericht Weiden	LGWEIDE
Bayern	Landgericht Würzburg	LGWUERZ
Bayern	Oberlandesgericht Bamberg	OLGBAMB
Bayern	Oberlandesgericht München	OLGMUEN
Bayern	Oberlandesgericht Nürnberg	OLGNUER
Bayern	Sozialgericht Augsburg	SGAUGSB
Bayern	Sozialgericht Bayreuth	SGBAYRE
Bayern	Sozialgericht Landshut	SGLANDS
Bayern	Sozialgericht München	SGMUENC
Bayern	Sozialgericht Nürnberg	SGNUERN
Bayern	Sozialgericht Regensburg	SGREGEN
Bayern	Sozialgericht Würzburg	SGWUERZ
Bayern	Verwaltungsgericht Ansbach	VGANSBA
Bayern	Verwaltungsgericht Augsburg	VGAUGSB
Bayern	Verwaltungsgericht Bayreuth	VGBAYRE
Bayern	Verwaltungsgericht München	VGMUENC

Bayern	Verwaltungsgericht Regensburg	VGREGEN
Bayern	Verwaltungsgericht Würzburg	VGWUERZ
Berlin	Amtsgericht Charlottenburg	AGBECH
Berlin	Amtsgericht Köpenick	AGBEKP
Berlin	Amtsgericht Lichtenberg	AGBELB
Berlin	Amtsgericht Mitte	AGBEMI
Berlin	Amtsgericht Neukölln	AGBENK
Berlin	Amtsgericht Pankow/Weißensee	AGBEPW
Berlin	Amtsgericht Schöneberg	AGBESB
Berlin	Amtsgericht Spandau	AGBESP
Berlin	Amtsgericht Tempelhof-Kreuzberg	AGBETK
Berlin	Amtsgericht Tiergarten	AGBETG
Berlin	Amtsgericht Wedding	AGBEWE
Berlin	Arbeitsgericht Berlin	ARBGBE
Berlin	Kammergericht	KG
Berlin	Landesarbeitsgericht Berlin-Brandenburg	LAGBEBB
Berlin	Landgericht Berlin	LGBE
Berlin	Oberverwaltungsgericht Berlin-Brandenburg	OVGBEBB
Berlin	Sozialgericht Berlin	SGBE
Berlin	Verfassungsgerichtshof des Landes Berlin	VERFGBE
Berlin	Verwaltungsgericht Berlin	VGBE
Brandenburg	Amtsgericht Bad Freienwalde (Oder)	AGBADFR
Brandenburg	Amtsgericht Bad Liebenwerda	AGBADLI
Brandenburg	Amtsgericht Bernau bei Berlin	AGBERNA
Brandenburg	Amtsgericht Brandenburg an der Havel	AGBRAND
Brandenburg	Amtsgericht Cottbus	AGCOTTB
Brandenburg	Amtsgericht Eberswalde	AGEBERS
Brandenburg	Amtsgericht Eisenhüttenstadt	AGEISEN
Brandenburg	Amtsgericht Frankfurt (Oder)	AGFF
Brandenburg	Amtsgericht Fürstenwalde/Spree	AGFUERS
Brandenburg	Amtsgericht Königs Wusterhausen	AGKOEWU
Brandenburg	Amtsgericht Lübben (Spreewald)	AGLUEBB
Brandenburg	Amtsgericht Luckenwalde	AGLUCKE
Brandenburg	Amtsgericht Nauen	AGNAUEN
Brandenburg	Amtsgericht Neuruppin	AGNEURU
Brandenburg	Amtsgericht Oranienburg	AGORANI
Brandenburg	Amtsgericht Perleberg	AGPERLE
Brandenburg	Amtsgericht Potsdam	AGPOTSD
Brandenburg	Amtsgericht Prenzlau	AGPRENZ
Brandenburg	Amtsgericht Rathenow	AGRATHE
Brandenburg	Amtsgericht Schwedt/Oder	AGSDT
Brandenburg	Amtsgericht Senftenberg	AGSENFT
Brandenburg	Amtsgericht Strausberg	AGSTRAU
Brandenburg	Amtsgericht Zehdenick	AGZEHDE
Brandenburg	Amtsgericht Zossen	AGZOSSE
Brandenburg	Arbeitsgericht Brandenburg an der Havel	ARBGBRA
Brandenburg	Arbeitsgericht Cottbus	ARBGCOT
Brandenburg	Arbeitsgericht Eberswalde	ARBGEBE
Brandenburg	Arbeitsgericht Frankfurt (Oder)	ARBGFRA
Brandenburg	Arbeitsgericht Neuruppin	ARBGNP
Brandenburg	Arbeitsgericht Potsdam	ARBGPOT
Brandenburg	Brandenburgisches Oberlandesgericht	OLGBB
Brandenburg	Finanzgericht Berlin-Brandenburg	FGBEBB
Brandenburg	Landessozialgericht Berlin-Brandenburg	LSGBEBB
Brandenburg	Landgericht Cottbus	LGCOTTB
Brandenburg	Landgericht Frankfurt (Oder)	LGFRANK
Brandenburg	Landgericht Neuruppin	LGNEURU
Brandenburg	Landgericht Potsdam	LGPOTSD
Brandenburg	Sozialgericht Cottbus	SGCOTTB
Brandenburg	Sozialgericht Frankfurt (Oder)	SGFRANK
Brandenburg	Sozialgericht Neuruppin	SGNEURU
Brandenburg	Sozialgericht Potsdam	SGPOTSD
Brandenburg	Verfassungsgericht des Landes Brandenburg	VERFGBB
Brandenburg	Verwaltungsgericht Cottbus	VGCOTTB
Brandenburg	Verwaltungsgericht Frankfurt (Oder)	VGFRANK
Brandenburg	Verwaltungsgericht Potsdam	VGPOTSD
Bremen	Amtsgericht Bremen	AGHB1
Bremen	Amtsgericht Bremen-Blumenthal	AGHB2
Bremen	Amtsgericht Bremerhaven	AGHB3
Bremen	Arbeitsgericht Bremen - Bremerhaven	ARBGHB
Bremen	Finanzgericht Bremen	FGHB
Bremen	Hanseatisches Oberlandesgericht	OLGHB
Bremen	Landesarbeitsgericht Bremen	LAGHB
Bremen	Landgericht Bremen	LGHB
Bremen	Oberverwaltungsgericht Bremen	OVGHB
Bremen	Sozialgericht Bremen	SGHB
Bremen	Staatsgerichtshof Bremen	STGHHB
Bremen	Verwaltungsgericht Bremen	VGHB
Hamburg	Amtsgericht Hamburg	AGHH
Hamburg	Amtsgericht Hamburg-Altona	AGHHAL
Hamburg	Amtsgericht Hamburg-Barmbek	AGHHBA
Hamburg	Amtsgericht Hamburg-Bergedorf	AGHHBE
Hamburg	Amtsgericht Hamburg-Blankenese	AGHHBL
Hamburg	Amtsgericht Hamburg-Harburg	AGHHHR
Hamburg	Amtsgericht Hamburg-St.Georg	AGHHSG
Hamburg	Amtsgericht Hamburg-Wandsbek	AGHH WA
Hamburg	Arbeitsgericht Hamburg	ARBGHH
Hamburg	Finanzgericht Hamburg	FGHH
Hamburg	Hamburgisches Oberverwaltungsgericht	OVGHH
Hamburg	Hamburgisches Verfassungsgericht	VERFGHH
Hamburg	Hanseatisches Oberlandesgericht	OLGHH
Hamburg	Landesarbeitsgericht Hamburg	LAGHH
Hamburg	Landessozialgericht Hamburg	LSGHH
Hamburg	Landgericht Hamburg	LGHH
Hamburg	Sozialgericht Hamburg	SGHH
Hamburg	Verwaltungsgericht Hamburg	VGHH

Hessen	Amtsgericht Alsfeld	AGALSFE
Hessen	Amtsgericht Bad Hersfeld	AGBADHE
Hessen	Amtsgericht Bad Homburg	AGBADHO
Hessen	Amtsgericht Bad Schwalbach	AGBADSC
Hessen	Amtsgericht Bensheim	AGBENSH
Hessen	Amtsgericht Biedenkopf	AGBIEDE
Hessen	Amtsgericht Biidingen	AGBUEDI
Hessen	Amtsgericht Darmstadt	AGDARMS
Hessen	Amtsgericht Dieburg	AGDIEBU
Hessen	Amtsgericht Dillenburg	AGDILLE
Hessen	Amtsgericht Eschwege	AGESCHW
Hessen	Amtsgericht Frankenberg (Eder)	AGFRANK
Hessen	Amtsgericht Frankfurt am Main	AGFFM
Hessen	Amtsgericht Friedberg (Hessen)	AGFRIED
Hessen	Amtsgericht Fritzlar	AGFRITZ
Hessen	Amtsgericht Fulda	AGFULDA
Hessen	Amtsgericht Furth	AGFUERT
Hessen	Amtsgericht Gelnhausen	AGGELNH
Hessen	Amtsgericht Gießen	AGGIESS
Hessen	Amtsgericht Groß-Gerau	AGGROSS
Hessen	Amtsgericht Hanau	AGHANAU
Hessen	Amtsgericht Hunfeld	AGHUENF
Hessen	Amtsgericht Idstein	AGIDSTE
Hessen	Amtsgericht Kassel	AGKASSE
Hessen	Amtsgericht Kirchhain	AGKIRCH
Hessen	Amtsgericht Konigstein im Taunus	AGKOENI
Hessen	Amtsgericht Korbach	AGKORBA
Hessen	Amtsgericht Lampertheim	AGLAMPE
Hessen	Amtsgericht Langen (Hessen)	AGLANG1
Hessen	Amtsgericht Limburg a.d. Lahn	AGLIMBU
Hessen	Amtsgericht Marburg	AGMARBU
Hessen	Amtsgericht Melsungen	AGMELSU
Hessen	Amtsgericht Michelstadt	AGMICHE
Hessen	Amtsgericht Offenbach am Main	AGOFFEN
Hessen	Amtsgericht Rudesheim am Rhein	AGRUEDE
Hessen	Amtsgericht Russelsheim	AGRUESS
Hessen	Amtsgericht Schwalmstadt	AGSCHW3
Hessen	Amtsgericht Seligenstadt	AGSELIG
Hessen	Amtsgericht Weilburg	AGWEILB
Hessen	Amtsgericht Wetzlar	AGWETZL
Hessen	Amtsgericht Wiesbaden	AGWIESB
Hessen	Arbeitsgericht Darmstadt	ARBGDAR
Hessen	Arbeitsgericht Frankfurt am Main	ARBGFFM
Hessen	Arbeitsgericht Fulda	ARBGFUL
Hessen	Arbeitsgericht Gießen	ARBGGIE
Hessen	Arbeitsgericht Kassel	ARBGKAS
Hessen	Arbeitsgericht Offenbach am Main	ARBGOFF
Hessen	Arbeitsgericht Wiesbaden	ARBGWIE
Hessen	Hessischer Verwaltungsgerichtshof	VGHHE
Hessen	Hessisches Finanzgericht	FGHE
Hessen	Hessisches Landesarbeitsgericht	LAGHE
Hessen	Hessisches Landessozialgericht	LSGHE
Hessen	Landgericht Darmstadt	LGDARMS
Hessen	Landgericht Frankfurt am Main	LGFFM
Hessen	Landgericht Fulda	LGFULDA
Hessen	Landgericht Gießen	LGGIESS
Hessen	Landgericht Hanau	LGHANAU
Hessen	Landgericht Kassel	LGKASSE
Hessen	Landgericht Limburg a.d. Lahn	LGLIMBU
Hessen	Landgericht Marburg	LGMARBU
Hessen	Landgericht Wiesbaden	LGWIESB
Hessen	Oberlandesgericht Frankfurt am Main	OLGHE
Hessen	Sozialgericht Darmstadt	SGDARMS
Hessen	Sozialgericht Frankfurt am Main	SGFFM
Hessen	Sozialgericht Fulda	SGFULDA
Hessen	Sozialgericht Gießen	SGGIESS
Hessen	Sozialgericht Kassel	SGKASSE
Hessen	Sozialgericht Marburg	SGMARBU
Hessen	Sozialgericht Wiesbaden	SGWIESB
Hessen	Staatsgerichtshof des Landes Hessen	STGHHE
Hessen	Verwaltungsgericht Darmstadt	VGDARMS
Hessen	Verwaltungsgericht Frankfurt am Main	VGFFM
Hessen	Verwaltungsgericht Gießen	VGGIESS
Hessen	Verwaltungsgericht Kassel	VGKASSE
Hessen	Verwaltungsgericht Wiesbaden	VGWIESB
Mecklenburg-Vorpommern	Amtsgericht Greifswald	AGGREIF
Mecklenburg-Vorpommern	Amtsgericht Gustrow	AGGUEST
Mecklenburg-Vorpommern	Amtsgericht Ludwigslust	AGLUP
Mecklenburg-Vorpommern	Amtsgericht Neubrandenburg	AGNEUBR
Mecklenburg-Vorpommern	Amtsgericht Pasewalk	AGPASEW
Mecklenburg-Vorpommern	Amtsgericht Ribnitz-Damgarten	AGRIBNI
Mecklenburg-Vorpommern	Amtsgericht Rostock	AGROSTO
Mecklenburg-Vorpommern	Amtsgericht Schwerin	AGSN
Mecklenburg-Vorpommern	Amtsgericht Stralsund	AGSTRAL
Mecklenburg-Vorpommern	Amtsgericht Waren (Müritz)	AG WAREN
Mecklenburg-Vorpommern	Amtsgericht Wismar	AGWISMA
Mecklenburg-Vorpommern	Arbeitsgericht Rostock	ARBGROS
Mecklenburg-Vorpommern	Arbeitsgericht Schwerin	ARBGSCH
Mecklenburg-Vorpommern	Arbeitsgericht Stralsund	ARBGSTR
Mecklenburg-Vorpommern	Finanzgericht Mecklenburg-Vorpommern	FGMV
Mecklenburg-Vorpommern	Landesarbeitsgericht Mecklenburg-Vorpommern	LAGMV
Mecklenburg-Vorpommern	Landessozialgericht Mecklenburg-Vorpommern	LSGMV
